,Quarantine Station,State,latitude,longitude,geoType
50,"Institut Pertanian Bumbung Lima, Pulau Pinang",Pulau Pinang,5.5522223,100.4433625,GEOMETRIC_CENTER
51,"Institut Teknikal Jepun Malaysia, Pulau Pinang",Pulau Pinang,5.3038906,100.4456806,ROOFTOP
52,"Institut Latihan Kecemerlangan MARA, Pulau Pinang",Pulau Pinang,5.1930807,100.501371,ROOFTOP
53,"Institut Latihan Perindustrian Arumugam Pillai, Nibong Tebal, Pulau Pinang",Pulau Pinang,5.1635864,100.4981896,GEOMETRIC_CENTER
54,"Institut Latihan Perindustrian Kepala Batas, Pulau Pinang",Pulau Pinang,5.5210162,100.4811569,ROOFTOP
55,"Institut Latihan Perindustrian Perai, Pulau Pinang",Pulau Pinang,5.373721,100.389338,GEOMETRIC_CENTER
56,"Kem Bina Negara Balik Pulau, Pulau Pinang",Pulau Pinang,5.2962039,100.184864,GEOMETRIC_CENTER
57,"Kolej Kejururawatan, Pulau Pinang",Pulau Pinang,5.4194639,100.309944,GEOMETRIC_CENTER
58,"Kolej Komuniti Bayan Baru, Pulau Pinang",Pulau Pinang,5.3324429,100.279293,ROOFTOP
59,"Kolej Komuniti Bukit Mertajam, Pulau Pinang",Pulau Pinang,5.3809232,100.4642375,GEOMETRIC_CENTER
60,"Kolej Komuniti Kepala Batas, Pulau Pinang",Pulau Pinang,5.5199814,100.4343523,ROOFTOP
61,"Kolej Komuniti Nibong Tebal, Pulau Pinang",Pulau Pinang,5.2841619,100.4803589,ROOFTOP
62,"Kolej Komuniti Tasek Gelugor, Pulau Pinang",Pulau Pinang,5.4918807,100.383861,ROOFTOP
63,"Kolej Kemahiran Tinggi MARA Balik Pulau, Pulau Pinang",Pulau Pinang,5.330903,100.217422,GEOMETRIC_CENTER
64,"Pusat Pembangunan Kemahiran Pulau Pinang, Pulau Pinang",Pulau Pinang,5.3200146,100.2902496,ROOFTOP
65,"Politeknik Balik Pulau, Pulau Pinang",Pulau Pinang,5.343804,100.215553,GEOMETRIC_CENTER
66,"Politeknik Metro Tasek Gelugor, Pulau Pinang",Pulau Pinang,5.4850917,100.4902753,GEOMETRIC_CENTER
67,"Politeknik Seberang Perai, Pulau Pinang",Pulau Pinang,5.3740903,100.4217674,GEOMETRIC_CENTER
68,"Pusat Keluarga LPPKN Bertam Pulau Pinang, Pulau Pinang",Pulau Pinang,5.5163961,100.4408303,GEOMETRIC_CENTER
69,"Pusat Latihan KEMAS Kepala Batas, Pulau Pinang",Pulau Pinang,5.5160545,100.4183062,ROOFTOP
70,"SEAMEO RECSAM PENANG, Pulau Pinang",Pulau Pinang,5.377133,100.3089619,GEOMETRIC_CENTER
71,"Hotel TH, Bayan Lepas, Pulau Pinang",Pulau Pinang,5.3005896,100.260678,ROOFTOP
72,"Akademi Bomba dan Penyelamat Malaysia Ipoh, Perak",Perak,4.6754887,101.073343,GEOMETRIC_CENTER
73,"Akademi Kemahiran KEMAS Seri Iskandar, Perak",Perak,4.37154,100.9543561,GEOMETRIC_CENTER
74,"Institut Kemahiran Belia Negara Seri Iskandar, Perak",Perak,4.367937,100.940539,GEOMETRIC_CENTER
75,"Institusi Kemahiran Mara Lumut, Perak",Perak,4.192076,100.6583262,GEOMETRIC_CENTER
76,"Institut Latihan Statistik Malaysia, Perak",Perak,3.977403,101.3204378,GEOMETRIC_CENTER
77,"Institut Latihan Perindustrian Ipoh, Perak",Perak,4.6475308,101.0730104,GEOMETRIC_CENTER
78,"Institut Pendidikan Guru Kampus Ipoh, Perak",Perak,4.6545623,101.1642337,GEOMETRIC_CENTER
79,"Institut Pertanian Parit Titi Gantong, Perak",Perak,4.3605215,100.8446281,GEOMETRIC_CENTER
80,"Jabatan Kerja Raya Negeri Perak, Perak",Perak,4.6043387,101.0764545,GEOMETRIC_CENTER
81,"Institut Tanah dan Ukur Negara, Perak",Perak,3.766089,101.5184121,APPROXIMATE
82,"Kem Bina Negara Ulu Kenas, Perak",Perak,4.6860738,100.8848429,GEOMETRIC_CENTER
83,"Kolej Komuniti Chenderoh, Perak",Perak,4.7907318,100.8979805,GEOMETRIC_CENTER
84,"Kolej Komuniti Gerik, Perak",Perak,5.3863474,101.057001,GEOMETRIC_CENTER
85,"Kolej Komuniti Kuala Kangsar, Perak",Perak,4.7736833,100.9429535,GEOMETRIC_CENTER
86,"Kolej Komuniti Manjung, Perak",Perak,4.2062114,100.6738979,ROOFTOP
87,"Kolej Komuniti Pasir Salak, Perak",Perak,4.1375187,100.9092968,GEOMETRIC_CENTER
88,"Kolej Komuniti RTC Gopeng, Perak",Perak,4.4938249,101.1515753,GEOMETRIC_CENTER
89,"Kolej Komuniti Sungai Siput, Perak",Perak,4.85155,101.052517,GEOMETRIC_CENTER
90,"Kolej Komuniti Taiping, Perak",Perak,4.8921046,100.7348388,ROOFTOP
91,"Kolej Komuniti Tapah, Perak",Perak,4.1933091,101.2637544,GEOMETRIC_CENTER
92,"Kolej Komuniti Teluk Intan, Perak",Perak,4.0121713,101.0406533,GEOMETRIC_CENTER
93,"Kolej Komuniti Batu Gajah, Perak",Perak,4.473768,101.051004,GEOMETRIC_CENTER
94,"Kolej Sains Kesihatan Bersekutu Sultan Azlan Shah Ulu Kinta, Perak",Perak,4.6857578,101.1522589,GEOMETRIC_CENTER
95,"Pusat Pembangunan Modal Manusia Perak, Perak",Perak,4.5921126,101.090109,APPROXIMATE
96,"Pusat Pembangunan Kemahiran Perak, Perak",Perak,4.5921126,101.090109,APPROXIMATE
97,"Politeknik Sultan Azlan Shah, Perak",Perak,3.770015,101.450107,ROOFTOP
98,"Politeknik Ungku Omar, Perak",Perak,4.5885059,101.1258607,GEOMETRIC_CENTER
99,"Pusat Bimbingan Usahawan Manong, Perak",Perak,4.6085778,100.8998429,APPROXIMATE
100,"Pusat Latihan Teknologi Tinggi Taiping, Perak",Perak,4.8656336,100.7002974,GEOMETRIC_CENTER
101,"Pusat Transformasi Luar Bandar Perak, Perak",Perak,4.59684,101.067969,MANUAL
102,"Akademi Bomba dan Penyelamat Malaysia Kuala Kubu Bharu, Selangor",Selangor,3.5705367,101.6602652,GEOMETRIC_CENTER
103,"Agensi Nuklear Malaysia, Selangor",Selangor,2.9071234,101.7670464,GEOMETRIC_CENTER
104,"Akademi Penerbangan Malaysia, Selangor",Selangor,2.7510581,101.7388589,GEOMETRIC_CENTER
105,"Agensi Anti Dadah Kebangsaan, Selangor",Selangor,3.0584647,101.4690264,GEOMETRIC_CENTER
106,"Institut Alam Sekitar Malaysia, Selangor",Selangor,2.9254336,101.7881694,GEOMETRIC_CENTER
107,"Institut Kepimpinan IM4U, Selangor",Selangor,3.1640795,101.4689558,GEOMETRIC_CENTER
108,"Institut Latihan Islam Malaysia, Selangor",Selangor,2.9528237,101.7475974,ROOFTOP
109,"Institut Latihan Kehakiman dan Perundangan, Bangi, Selangor",Selangor,2.933361,101.7720109,ROOFTOP
110,"Institut Penyelidikan Perhutanan Malaysia, Selangor",Selangor,3.2336798,101.6326558,GEOMETRIC_CENTER
111,"Institut Kemahiran Belia Negara Kuala Langat, Selangor",Selangor,2.8259985,101.487527,MANUAL
112,"Institut Kemahiran Belia Negara Peretak, Selangor",Selangor,3.547078,101.6780479,GEOMETRIC_CENTER
113,"Institut Kemahiran Tinggi Belia Negara Sepang, Selangor",Selangor,2.8061155,101.7181339,GEOMETRIC_CENTER
114,"Institut Kemahiran Tinggi Belia Negara Dusun Tua, Selangor",Selangor,3.1356015,101.8346057,GEOMETRIC_CENTER
115,"Institut Penilaian Negara, Selangor",Selangor,2.9563321,101.7284116,GEOMETRIC_CENTER
116,"Institut Kemajuan Desa, Selangor",Selangor,2.9646634,101.7362468,ROOFTOP
117,"Institut Perakaunan Negara, Selangor",Selangor,3.8306641,100.8163812,GEOMETRIC_CENTER
118,"Institut Pendidikan Guru, Kampus Pendidikan Islam, Selangor",Selangor,2.9461311,101.7503306,GEOMETRIC_CENTER
119,"Institut Latihan Pentadbiran dan Pengurusan Pengangkutan Laut, Selangor",Selangor,2.9894935,101.3882608,GEOMETRIC_CENTER
120,"Institut Latihan Pengembangan Pertanian Serdang, Selangor",Selangor,3.0113255,101.6965254,GEOMETRIC_CENTER
121,"Institut Latihan Perindustrian Kuala Langat, Selangor",Selangor,2.8206509,101.4630754,GEOMETRIC_CENTER
122,"Institut Koperasi Malaysia, Selangor",Selangor,3.095776,101.6420444,ROOFTOP
123,"Institut Pengurusan Veterinar Cheras, Selangor",Selangor,3.0358806,101.7754554,GEOMETRIC_CENTER
124,"Institut Pertanian Serdang, Selangor",Selangor,2.996238,101.6960835,GEOMETRIC_CENTER
125,"Kem Bina Negara Tanjung Rhu, Selangor",Selangor,2.6347347,101.6221912,GEOMETRIC_CENTER
126,"Kem Wawasan Negara Meru, Selangor",Selangor,3.1640795,101.4689558,GEOMETRIC_CENTER
127,"Kolej Sains Kesihatan Bersekutu Sungai Buloh, Selangor",Selangor,3.2209428,101.5864519,GEOMETRIC_CENTER
128,"Kolej Kemahiran Tinggi Mara Petaling Jaya, Selangor",Selangor,3.0836672,101.6547245,GEOMETRIC_CENTER
129,"Kolej Komuniti Sabak Bernam, Selangor",Selangor,3.769601,100.9840979,GEOMETRIC_CENTER
130,"Kolej Komuniti Selayang, Selangor",Selangor,3.2648286,101.6529354,ROOFTOP
131,"Kolej Komuniti Shah Alam, Selangor",Selangor,3.0845299,101.5569116,GEOMETRIC_CENTER
132,"Kolej Komuniti Tanjung Karang, Selangor",Selangor,3.426409,101.1767141,GEOMETRIC_CENTER
133,"Kolej Komuniti Hulu Langat, Selangor",Selangor,3.009807,101.8031479,GEOMETRIC_CENTER
134,"Kolej Komuniti Hulu Selangor, Selangor",Selangor,3.4497399,101.6643389,ROOFTOP
135,"Kolej Komuniti Klang, Selangor",Selangor,3.0269057,101.4428042,ROOFTOP
136,"Kolej Komuniti Kuala Langat, Selangor",Selangor,2.8245932,101.4490095,GEOMETRIC_CENTER
137,"Maktab Koperasi Malaysia Petaling Jaya, Selangor",Selangor,3.0962728,101.6422666,GEOMETRIC_CENTER
138,"Institut Perindustrian MARA Jepun Beranang, Selangor",Selangor,2.9048983,101.8643918,GEOMETRIC_CENTER
139,"Politeknik Banting, Selangor",Selangor,2.8259287,101.465301,GEOMETRIC_CENTER
140,"Politeknik Sultan Idris Shah, Selangor",Selangor,3.810893,100.819972,GEOMETRIC_CENTER
141,"Politeknik Sultan Salahuddin Abdul Aziz Shah, Shah Alam, Selangor",Selangor,3.0853797,101.5574892,APPROXIMATE
142,"Pusat Bimbingan Usahawan Serdang, Selangor",Selangor,2.9898253,101.7262089,GEOMETRIC_CENTER
143,"Pusat Latihan JAKOA Damansara Damai, Selangor",Selangor,3.1890077,101.5964702,ROOFTOP
144,"Pusat Latihan Kejuruteraan Pertanian Serdang, Selangor",Selangor,2.998299,101.6976641,GEOMETRIC_CENTER
145,"Pusat Latihan Mardi Serdang, Selangor",Selangor,2.9956638,101.7025271,GEOMETRIC_CENTER
146,"Pusat Latihan Teknologi Tinggi Shah Alam, Selangor",Selangor,3.010968,101.510152,ROOFTOP
147,"Pusat Latihan Pengajar dan Kemahiran Lanjutan, Selangor",Selangor,3.0539839,101.5250575,GEOMETRIC_CENTER
148,"Akademi Kenegaraan Biro Tatanegara, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1286463,101.6984493,GEOMETRIC_CENTER
149,"Akademi Pencegahan Rasuah Malaysia, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.167945,101.6723034,GEOMETRIC_CENTER
150,"Institut Integriti Malaysia, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1683068,101.6731673,GEOMETRIC_CENTER
151,"Institut Kemahiran Belia Negara Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1430454,101.7336292,GEOMETRIC_CENTER
152,"Institut Tadbiran Awam Negara Kampus Utama Bukit Kiara, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.140827,101.650148,ROOFTOP
153,"Institut Tadbiran Awam Negara Kampus Wilayah Tengah, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1194707,101.6489615,ROOFTOP
154,"Institut Penyiaran dan Penerangan Tun Abdul Razak, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1112178,101.6728909,ROOFTOP
155,"Institut Diplomasi dan Hubungan Luar Negeri, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.13349,101.7029902,GEOMETRIC_CENTER
156,"Institut Kemahiran MARA Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1430811,101.7335645,ROOFTOP
157,"Institut Kemahiran Belia Negara Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1430454,101.7336292,GEOMETRIC_CENTER
158,"Institut Latihan KEMAS Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1283065,101.69075,GEOMETRIC_CENTER
159,"Institut Latihan Dewan Bandaraya Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.0937577,101.7222237,GEOMETRIC_CENTER
160,"Institut Sosial Malaysia, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.078339,101.7012253,ROOFTOP
161,"Institut Pendidikan Guru, Kampus Bahasa Melayu, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1219024,101.6631772,GEOMETRIC_CENTER
162,"Institut Pendidikan Guru, Kampus Ilmu Khas, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1074799,101.7262845,GEOMETRIC_CENTER
163,"Institut Pendidikan Guru, Kampus Bahasa Antarabangsa, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.1222696,101.6647862,GEOMETRIC_CENTER
164,"Institut Latihan Perindustrian Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.0929095,101.6877479,GEOMETRIC_CENTER
165,"Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,2.93706,101.6955202,GEOMETRIC_CENTER
166,"Politeknik Metro Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.177967,101.7421582,ROOFTOP
167,"Akademi Imigresen Malaysia, Negeri Sembilan",Negeri Sembilan,2.419711,101.8928587,ROOFTOP
168,"Akademi Pembangunan Belia Malaysia (Kepimpinan) Port Dickson, Negeri Sembilan",Negeri Sembilan,2.4136012,101.9458643,GEOMETRIC_CENTER
169,"Pusat Pengajaran Bahasa Inggeris, Negeri Sembilan",Negeri Sembilan,2.7266655,101.7995907,GEOMETRIC_CENTER
170,"Institut Aminuddin Baki, Bandar Enstek, Negeri Sembilan",Negeri Sembilan,2.7275955,101.7934498,ROOFTOP
171,"Institut Kajian dan Latihan Integrasi Nasional, Nilai, Negeri Sembilan",Negeri Sembilan,2.8143264,101.7924339,ROOFTOP
172,"Institut Kemahiran Tinggi Belia Negara Chembong, Negeri Sembilan",Negeri Sembilan,2.6215179,102.0692459,ROOFTOP
173,"Institut Latihan FAMA, Negeri Sembilan",Negeri Sembilan,2.4196302,101.8911655,GEOMETRIC_CENTER
174,"Institut Latihan Perindustrian Pedas, Negeri Sembilan",Negeri Sembilan,2.5916273,102.0490566,GEOMETRIC_CENTER
175,"Institut Pendidikan Guru, Kampus Pendidikan Teknik, Negeri Sembilan",Negeri Sembilan,2.7299934,101.7992301,ROOFTOP
176,"Institut Pendidikan Guru, Kampus Raja Melewar, Negeri Sembilan",Negeri Sembilan,2.739332,101.9592742,GEOMETRIC_CENTER
177,"Kem Bina Negara Kuarters KLIA, Negeri Sembilan",Negeri Sembilan,2.7678637,101.7662126,GEOMETRIC_CENTER
178,"Kem Bina Negara Ulu Sepri, Negeri Sembilan",Negeri Sembilan,2.6547771,102.0906006,GEOMETRIC_CENTER
179,"Kem Wawasan Negara, Kuarters KLIA, Negeri Sembilan",Negeri Sembilan,2.7678637,101.7662126,GEOMETRIC_CENTER
180,"Kolej Kemahiran Tinggi Mara Rembau, Negeri Sembilan",Negeri Sembilan,2.5199095,102.0340536,GEOMETRIC_CENTER
181,"Kolej Komuniti Rembau, Negeri Sembilan",Negeri Sembilan,2.5749647,102.0453689,GEOMETRIC_CENTER
182,"Kolej Komuniti Tampin, Negeri Sembilan",Negeri Sembilan,2.525534,102.3898702,ROOFTOP
183,"Kolej Komuniti Jelebu, Negeri Sembilan",Negeri Sembilan,2.979152,102.057327,GEOMETRIC_CENTER
184,"Kolej Komuniti Jempol, Negeri Sembilan",Negeri Sembilan,2.8470241,102.4070971,GEOMETRIC_CENTER
185,"Politeknik Nilai Negeri Sembilan, Negeri Sembilan",Negeri Sembilan,2.7215095,101.7944568,GEOMETRIC_CENTER
186,"Politeknik Port Dickson, Negeri Sembilan",Negeri Sembilan,2.44423,101.863174,APPROXIMATE
187,"Pusat Keluarga LPPKN Seremban 2, Negeri Sembilan",Negeri Sembilan,2.6937085,101.9100658,GEOMETRIC_CENTER
188,"Akademi Kastam Diraja Malaysia Melaka, Melaka",Melaka,2.2288311,102.2772834,ROOFTOP
189,"Akademi Jabatan Pengangkutan Jalan Malaysia (Induk), Melaka",Melaka,2.230947,102.2971421,GEOMETRIC_CENTER
190,"Asrama Jururawat Hospital Jasin, Melaka",Melaka,2.3049027,102.4284476,GEOMETRIC_CENTER
191,"Institut Kemahiran Belia Negara Alor Gajah, Melaka",Melaka,2.3811184,102.090419,GEOMETRIC_CENTER
192,"Institut Kemahiran MARA Jasin, Melaka",Melaka,2.301398,102.4386533,GEOMETRIC_CENTER
193,"Institut Latihan Perindustrian Bukit Katil, Melaka",Melaka,2.240281,102.298482,GEOMETRIC_CENTER
194,"Institut Latihan Perindustrian Selandar, Melaka",Melaka,2.3959713,102.3820863,ROOFTOP
195,"Institut Pendidikan Guru Kampus Perempuan Melayu, Melaka",Melaka,2.2101163,102.2607586,GEOMETRIC_CENTER
196,"Institut Teknologi Unggas Alor Gajah, Melaka",Melaka,2.3839271,102.0892639,ROOFTOP
197,"Jabatan Agama Islam Melaka, Melaka",Melaka,2.215152,102.2638781,GEOMETRIC_CENTER
198,"Kem Bina Negara Alor Gajah, Melaka",Melaka,2.4579084,102.2890672,GEOMETRIC_CENTER
199,"Kolej Kemahiran Tinggi Mara Masjid Tanah, Melaka",Melaka,2.4248601,102.0689039,ROOFTOP
200,"Kolej Kejururawatan Melaka, Melaka",Melaka,2.2202411,102.2599519,GEOMETRIC_CENTER
201,"Pusat Latihan Kemas Melaka, Melaka",Melaka,2.2222643,102.2743651,GEOMETRIC_CENTER
202,"Kolej Komuniti Kota Melaka, Melaka",Melaka,2.22123,102.2358517,GEOMETRIC_CENTER
203,"Kolej Komuniti Masjid Tanah, Melaka",Melaka,2.366217,102.0932921,GEOMETRIC_CENTER
204,"Kolej Komuniti Selandar, Melaka",Melaka,2.400261,102.384941,GEOMETRIC_CENTER
205,"Kolej Komuniti Tangga Batu, Melaka",Melaka,2.2196377,102.192425,ROOFTOP
206,"Kolej Komuniti Bukit Beruang, Melaka",Melaka,2.2551555,102.2776121,ROOFTOP
207,"Kolej Komuniti Jasin, Melaka",Melaka,2.1401959,102.4305917,GEOMETRIC_CENTER
208,"Politeknik Melaka, Melaka",Melaka,2.229484,102.226152,ROOFTOP
209,"Politeknik Merlimau, Melaka",Melaka,2.1678105,102.4297971,GEOMETRIC_CENTER
210,"Pusat Kecemerlangan Kejuruteraan dan Teknologi JKR, Alor Gajah, Melaka",Melaka,2.4531857,102.2057522,GEOMETRIC_CENTER
211,"Pusat Latihan RELA Wilayah Selatan, Melaka",Melaka,2.2971339,102.1335354,GEOMETRIC_CENTER
212,"Pusat Latihan Teknologi Tinggi Melaka, Melaka",Melaka,2.4566403,102.1683691,GEOMETRIC_CENTER
213,"Pusat Rehabilitasi PERKESO, Melaka",Melaka,2.2940581,102.3356513,GEOMETRIC_CENTER
214,"Akademi Kastam Diraja Malaysia Cawangan Selatan, Johor",Johor,1.4651505,104.0403292,GEOMETRIC_CENTER
215,"Akademi Jabatan Pengangkutan Jalan Wilayah Selatan, Johor Bahru, Johor",Johor,1.483379,103.7536819,GEOMETRIC_CENTER
216,"Akademi Minyak dan Gas Johor Bahru, Johor",Johor,1.846086,103.9549699,GEOMETRIC_CENTER
217,"Hospital Enche Besar Hajjah Khalsom, Kluang, Johor",Johor,2.0081238,103.3470945,GEOMETRIC_CENTER
218,"Institut Latihan Perindustrian Tangkak, Johor",Johor,2.2999723,102.6019941,ROOFTOP
219,"Institut Latihan Perindustrian Mersing, Johor,",Johor,2.3213369,103.8479501,ROOFTOP
220,"Institut Latihan Perindustrian Pasir Gudang, Johor",Johor,1.4539799,103.9162387,GEOMETRIC_CENTER
221,"Institut Latihan Rakan Muda Desaru, Bandar Penawar, Johor",Johor,1.5680781,104.2535782,GEOMETRIC_CENTER
222,"Institut Kemahiran Belia Negara Bandar Penawar, Kota Tinggi, Johor",Johor,1.57392,104.210296,GEOMETRIC_CENTER
223,"Institut Kemahiran Belia Negara Pagoh, Johor",Johor,2.1354639,102.718989,GEOMETRIC_CENTER
224,"Institut Kemahiran Mara Johor Bahru, Johor",Johor,1.501365,103.7300692,ROOFTOP
